,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
250,Chaffee County,5.3     ,4.3     ,3.6,4.5,6.3,7.7,7.1,6.8,6.1,4.4,CO
251,Cheyenne County,3.0     ,2.7     ,2.5,2.7,2.6,4.1,4.2,4.5,4.2,2.9,CO
252,Clear Creek County,4.7     ,4.0     ,3.7,4.6,7.2,8.1,7.3,6.9,6.2,4.7,CO
253,Conejos County,7.8     ,6.6     ,5.5,7.3,7.4,9.6,10.3,10.4,10.4,7.8,CO
254,Costilla County,10.1     ,8.4     ,7.1,7.7,9.1,10.6,11.6,11.2,11.1,9.1,CO
255,Crowley County,7.9     ,6.8     ,6.3,7.4,8.6,9.1,8.7,8.1,7.3,6.1,CO
256,Custer County,4.7     ,4.3     ,4.0,5.1,6.2,6.6,6.3,6.3,6.3,4.7,CO
257,Delta County,5.0     ,4.0     ,3.3,4.4,7.1,10.7,10.3,9.4,8.5,6.9,CO
258,Denver County,5.7     ,4.8     ,4.1,5.4,8.1,9.1,8.6,7.8,6.6,4.9,CO
259,Dolores County,7.0     ,6.5     ,5.0,7.2,13.1,17.7,12.7,10.0,8.2,4.0,CO
260,Douglas County,4.1     ,3.6     ,3.1,4.2,6.2,7.0,6.3,5.9,5.3,4.0,CO
261,Eagle County,3.8     ,3.4     ,2.8,3.6,7.0,8.5,7.8,7.1,6.1,4.2,CO
262,Elbert County,4.5     ,4.0     ,3.7,4.8,7.0,8.1,7.4,7.0,5.8,4.3,CO
263,El Paso County,5.3     ,4.6     ,4.2,5.7,7.9,9.3,9.0,8.8,7.9,6.0,CO
264,Fremont County,6.1     ,5.5     ,4.7,6.3,8.5,11.7,11.8,11.4,10.5,8.1,CO
265,Garfield County,3.7     ,3.0     ,2.5,3.1,7.0,10.3,9.4,8.3,7.3,5.2,CO
266,Gilpin County,4.8     ,4.0     ,3.5,4.2,6.0,8.0,7.1,6.5,5.9,4.4,CO
267,Grand County,4.1     ,3.2     ,2.6,3.7,6.7,8.8,8.0,7.2,5.8,4.1,CO
268,Gunnison County,3.9     ,3.1     ,2.8,3.6,5.4,6.4,6.0,5.9,5.5,4.1,CO
269,Hinsdale County,2.8     ,3.1     ,2.8,3.3,3.2,5.7,5.1,4.8,4.6,3.8,CO
270,Huerfano County,7.7     ,6.0     ,4.7,6.4,8.7,14.0,13.4,14.0,13.5,10.1,CO
271,Jackson County,4.0     ,2.9     ,2.5,3.2,4.1,8.8,5.8,5.1,4.8,3.5,CO
272,Jefferson County,4.9     ,4.2     ,3.6,4.7,7.1,8.4,7.9,7.3,6.2,4.6,CO
273,Kiowa County,4.1     ,3.4     ,2.6,3.7,4.2,6.4,4.9,4.5,4.3,3.4,CO
274,Kit Carson County,3.4     ,3.0     ,2.7,3.4,3.9,4.5,4.6,4.4,3.9,3.1,CO
275,Lake County,4.9     ,4.2     ,3.6,4.6,8.6,11.0,10.0,8.6,7.3,4.8,CO
276,La Plata County,3.8     ,3.4     ,2.8,3.6,5.4,7.1,6.9,6.6,5.7,4.2,CO
277,Larimer County,4.4     ,3.9     ,3.4,4.2,6.3,7.6,7.1,6.6,5.8,4.3,CO
278,Las Animas County,5.0     ,4.0     ,3.6,4.5,8.1,10.6,10.9,11.8,11.0,7.6,CO
279,Lincoln County,4.1     ,3.6     ,3.1,3.7,4.1,6.0,6.3,6.4,5.8,4.1,CO
280,Logan County,4.0     ,3.5     ,3.1,3.9,5.0,6.3,6.2,5.9,5.1,3.8,CO
281,Mesa County,4.9     ,4.0     ,3.2,3.9,8.4,11.0,10.1,9.5,8.5,6.2,CO
282,Mineral County,5.0     ,4.9     ,4.2,5.5,6.7,7.0,5.4,5.2,5.9,5.2,CO
283,Moffat County,4.4     ,3.8     ,3.1,3.8,6.2,9.9,9.2,8.0,6.7,5.7,CO
284,Montezuma County,5.2     ,4.4     ,3.9,5.2,7.3,9.1,8.7,8.4,7.6,6.1,CO
285,Montrose County,4.7     ,4.0     ,3.6,5.0,8.1,11.0,10.9,10.2,9.4,6.8,CO
286,Morgan County,4.3     ,3.9     ,3.3,4.2,5.4,7.0,6.6,6.7,6.5,4.6,CO
287,Otero County,6.4     ,6.1     ,5.0,5.9,6.8,9.2,9.8,10.0,9.6,7.6,CO
288,Ouray County,3.4     ,3.1     ,2.9,3.7,5.6,9.8,10.0,8.8,7.1,5.5,CO
289,Park County,4.7     ,3.9     ,3.6,4.8,7.0,8.1,7.6,6.8,6.1,4.6,CO
290,Phillips County,3.5     ,3.4     ,2.7,3.4,3.6,5.3,5.3,5.1,4.5,3.3,CO
291,Pitkin County,4.0     ,3.1     ,2.7,3.3,6.0,8.1,7.7,7.1,6.4,4.9,CO
292,Prowers County,4.7     ,5.8     ,3.4,4.5,5.8,7.0,6.5,6.9,6.2,4.8,CO
293,Pueblo County,6.8     ,5.6     ,4.7,6.1,8.2,10.4,10.4,10.5,9.8,7.3,CO
294,Rio Blanco County,3.5     ,2.7     ,2.1,2.6,4.9,8.9,7.7,8.1,7.6,5.8,CO
295,Rio Grande County,5.8     ,4.6     ,4.0,5.7,6.1,10.6,12.0,11.7,11.2,9.0,CO
296,Routt County,3.7     ,3.2     ,2.6,3.4,6.5,9.3,8.1,7.1,5.9,4.2,CO
297,Saguache County,7.5     ,6.2     ,5.2,7.2,8.0,10.1,11.0,10.8,11.0,8.6,CO
298,San Juan County,7.3     ,4.9     ,4.1,5.6,7.4,12.5,11.3,9.6,8.4,5.3,CO
299,San Miguel County,4.2     ,3.4     ,3.1,3.9,5.9,7.8,7.9,7.7,6.6,4.7,CO
300,Sedgwick County,3.1     ,3.1     ,2.2,3.2,3.7,7.4,7.9,6.6,6.1,4.6,CO
301,Summit County,3.8     ,3.1     ,2.7,3.7,6.1,6.7,6.5,6.0,5.0,3.4,CO
302,Teller County,4.9     ,4.3     ,3.9,5.5,7.5,9.4,9.2,8.2,7.7,5.9,CO
303,Washington County,3.8     ,3.5     ,2.7,3.2,4.0,5.9,5.4,4.8,4.6,3.2,CO
304,Weld County,5.5     ,4.7     ,4.1,5.2,8.2,9.2,8.6,7.8,6.6,4.5,CO
305,Yuma County,3.1     ,2.6     ,2.1,2.7,3.3,5.6,5.2,5.1,4.7,3.3,CO
306,Fairfield County,4.4     ,3.8     ,3.9,5.2,7.5,8.4,8.2,7.8,7.2,6.2,CT
307,Hartford County,5.3     ,4.7     ,4.9,6.0,8.3,9.5,9.2,8.7,8.0,6.9,CT
308,Litchfield County,4.6     ,4.0     ,4.2,5.3,7.9,8.6,8.0,7.5,6.9,5.9,CT
309,Middlesex County,4.3     ,3.7     ,3.9,4.8,6.7,7.8,7.5,7.0,6.5,5.6,CT
310,New Haven County,5.3     ,4.8     ,4.9,6.2,8.6,10.0,9.7,9.1,8.4,7.2,CT
311,New London County,4.5     ,4.1     ,4.2,5.4,7.5,8.9,8.8,8.6,8.0,6.7,CT
312,Tolland County,4.2     ,3.8     ,3.8,4.8,6.6,7.7,7.4,7.1,6.6,5.6,CT
313,Windham County,5.5     ,5.2     ,5.2,6.6,8.8,10.2,9.8,9.4,8.7,7.3,CT
314,Kent County,3.6     ,3.2     ,3.4,4.9,8.1,8.9,8.2,7.9,7.3,6.4,DE
315,New Castle County,4.4     ,3.8     ,3.5,4.9,8.3,8.3,7.3,7.0,6.5,5.5,DE
316,Sussex County,3.7     ,3.3     ,3.4,5.1,8.2,8.5,7.7,7.3,6.8,5.7,DE
317,Washington County,6.4     ,5.8     ,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,DC
318,Alachua County,2.9     ,2.7     ,3.0,4.4,7.1,8.0,7.6,6.6,5.7,5.2,FL
319,Baker County,3.2     ,2.8     ,3.7,5.8,10.1,11.3,10.2,8.6,7.3,6.3,FL
320,Bay County,3.6     ,3.1     ,3.7,5.7,9.1,10.5,10.2,8.6,7.3,6.3,FL
321,Bradford County,3.2     ,2.9     ,3.4,5.0,8.1,9.9,9.0,7.5,6.2,5.6,FL
322,Brevard County,3.6     ,3.3     ,4.4,6.7,10.4,11.3,10.9,9.4,8.3,6.9,FL
323,Broward County,3.7     ,3.1     ,3.6,5.6,9.1,10.2,9.4,7.9,6.7,5.8,FL
324,Calhoun County,3.8     ,3.2     ,3.7,5.5,8.5,10.1,10.2,8.9,7.6,6.9,FL
325,Charlotte County,4.0     ,3.4     ,5.2,8.3,11.9,12.7,11.3,9.5,7.9,6.7,FL
326,Citrus County,4.3     ,3.8     ,5.1,8.3,12.1,13.7,12.5,10.8,9.7,8.5,FL
327,Clay County,3.4     ,3.0     ,3.5,5.5,9.3,9.9,9.1,7.7,6.4,5.7,FL
328,Collier County,3.5     ,3.1     ,4.4,7.1,11.1,11.6,10.2,8.5,7.1,5.9,FL
329,Columbia County,3.4     ,3.2     ,3.7,5.7,9.3,10.8,10.2,8.7,7.4,6.5,FL
330,DeSoto County,4.6     ,3.6     ,4.9,6.9,10.1,12.2,10.2,9.8,8.1,7.1,FL
331,Dixie County,3.8     ,3.5     ,4.4,7.6,11.4,12.9,12.3,10.3,8.7,7.5,FL
332,Duval County,4.0     ,3.5     ,4.2,6.4,10.5,11.4,10.3,8.8,7.6,6.7,FL
333,Escambia County,3.9     ,3.2     ,4.0,6.2,9.9,10.1,9.7,8.5,7.3,6.3,FL
334,Flagler County,4.4     ,4.5     ,6.6,9.9,14.7,12.4,11.4,9.9,8.4,7.5,FL
335,Franklin County,3.6     ,3.0     ,3.2,4.9,7.4,8.0,7.5,6.5,5.6,5.5,FL
336,Gadsden County,3.9     ,3.5     ,4.4,6.3,10.0,11.8,11.6,10.3,9.0,8.0,FL
337,Gilchrist County,3.2     ,2.9     ,3.9,5.8,9.3,10.8,10.3,9.0,7.7,6.5,FL
338,Glades County,4.9     ,3.9     ,4.8,7.1,9.3,9.5,9.5,7.7,7.6,7.2,FL
339,Gulf County,3.3     ,3.1     ,3.9,6.5,9.6,10.3,9.7,8.2,6.9,6.0,FL
340,Hamilton County,4.1     ,3.8     ,4.7,7.3,11.2,11.4,10.4,8.9,8.7,7.8,FL
341,Hardee County,4.8     ,4.0     ,4.6,6.9,10.5,11.5,9.9,8.9,8.3,7.7,FL
342,Hendry County,7.4     ,6.3     ,7.5,11.1,14.2,14.0,13.9,12.8,12.0,10.6,FL
343,Hernando County,4.9     ,4.5     ,5.9,8.8,13.3,13.5,12.5,10.6,9.0,7.9,FL
344,Highlands County,4.2     ,3.7     ,4.9,7.4,10.8,12.5,11.5,10.3,9.4,8.2,FL
345,Hillsborough County,3.8     ,3.3     ,4.2,6.5,10.6,10.7,9.6,8.0,6.7,5.8,FL
346,Holmes County,3.6     ,3.0     ,3.6,5.2,8.0,10.4,9.7,8.7,7.6,6.8,FL
347,Indian River County,4.8     ,4.1     ,5.7,8.2,12.9,13.9,12.7,11.0,9.7,7.8,FL
348,Jackson County,3.5     ,3.6     ,4.0,5.3,7.4,9.1,9.1,8.3,7.1,6.4,FL
349,Jefferson County,3.2     ,2.9     ,3.4,5.2,8.1,9.9,10.0,9.1,7.4,6.5,FL
350,Lafayette County,3.0     ,2.8     ,3.0,4.7,7.5,7.3,6.3,5.8,5.2,5.2,FL
351,Lake County,3.8     ,3.4     ,4.2,6.6,11.1,11.8,10.6,8.9,7.5,6.4,FL
352,Lee County,3.2     ,2.9     ,4.7,8.3,12.3,12.5,10.9,8.9,7.3,6.0,FL
353,Leon County,3.2     ,2.7     ,3.1,4.7,7.1,7.9,7.8,7.0,6.1,5.5,FL
354,Levy County,3.8     ,3.5     ,4.3,7.3,11.5,11.9,10.8,9.3,8.2,6.9,FL
355,Liberty County,2.8     ,2.6     ,2.8,4.4,5.8,8.8,9.2,7.9,6.7,6.5,FL
356,Madison County,4.7     ,5.2     ,6.2,7.2,10.7,10.0,9.8,8.9,8.2,7.4,FL
357,Manatee County,3.5     ,3.1     ,4.2,7.2,11.6,11.4,10.0,8.2,6.8,5.7,FL
358,Marion County,3.8     ,3.4     ,4.7,8.1,12.8,13.6,12.3,10.3,8.6,7.3,FL
359,Martin County,4.0     ,3.5     ,4.4,7.1,11.0,10.8,9.9,8.4,7.3,6.1,FL
360,Miami-Dade County,3.2     ,2.8     ,3.1,4.8,10.4,11.1,9.4,8.3,7.6,6.8,FL
361,Monroe County,2.7     ,2.5     ,2.7,4.2,6.8,7.8,6.9,5.6,4.8,4.1,FL
362,Nassau County,3.3     ,2.9     ,3.4,5.6,9.6,10.6,9.6,8.0,6.6,5.8,FL
363,Okaloosa County,2.8     ,2.4     ,3.1,4.7,7.2,8.4,7.8,6.7,5.7,5.1,FL
364,Okeechobee County,4.8     ,4.1     ,5.3,8.4,11.9,12.6,11.8,9.9,8.7,7.3,FL
365,Orange County,3.6     ,3.1     ,3.8,6.0,10.4,10.8,9.8,8.3,6.9,5.8,FL
366,Osceola County,3.8     ,3.4     ,4.3,6.5,11.2,12.5,11.3,9.5,7.9,6.7,FL
367,Palm Beach County,4.3     ,3.7     ,4.4,6.8,10.7,11.0,10.1,8.6,7.3,5.9,FL
368,Pasco County,4.4     ,3.9     ,5.0,7.7,11.9,11.9,10.9,9.1,7.8,6.7,FL
369,Pinellas County,3.9     ,3.4     ,4.2,6.6,10.8,10.8,9.7,8.0,6.8,5.8,FL
370,Polk County,4.1     ,3.7     ,4.6,6.9,11.3,12.1,11.3,9.7,8.3,7.1,FL
371,Putnam County,4.3     ,3.7     ,4.8,7.6,11.8,13.4,12.6,11.8,10.4,8.7,FL
372,St. Johns County,3.1     ,2.7     ,3.3,5.2,8.4,8.7,7.8,6.6,5.5,4.7,FL
373,St. Lucie County,4.8     ,4.2     ,5.8,8.9,13.4,13.8,12.6,11.0,10.0,8.0,FL
374,Santa Rosa County,3.6     ,3.0     ,3.7,5.8,9.1,9.3,8.6,7.6,6.5,5.4,FL
375,Sarasota County,3.4     ,3.1     ,4.6,7.4,11.3,11.6,10.3,8.5,7.1,5.8,FL
376,Seminole County,3.4     ,2.9     ,3.7,5.8,9.8,10.6,9.6,8.1,6.7,5.6,FL
377,Sumter County,3.4     ,2.8     ,3.6,5.8,9.1,13.3,12.1,10.3,8.9,7.7,FL
378,Suwannee County,3.6     ,3.2     ,3.7,6.1,9.7,9.8,9.2,8.0,6.9,6.2,FL
379,Taylor County,4.1     ,4.0     ,4.3,6.7,10.8,10.6,10.0,8.9,7.8,7.0,FL
380,Union County,3.0     ,2.6     ,3.2,5.0,7.5,8.5,8.0,7.2,6.3,6.0,FL
381,Volusia County,3.7     ,3.3     ,4.2,6.8,10.8,12.3,11.2,9.4,8.1,6.7,FL
382,Wakulla County,2.8     ,2.5     ,3.0,4.6,7.0,8.4,8.2,7.3,6.0,5.2,FL
383,Walton County,2.8     ,2.2     ,2.8,4.6,7.6,9.4,8.5,7.2,6.0,5.3,FL
384,Washington County,3.7     ,3.3     ,4.1,6.5,10.1,10.6,10.0,8.9,7.8,6.7,FL
385,Appling County,6.0     ,5.5     ,5.3,7.0,10.1,11.8,12.3,11.1,10.7,8.9,GA
386,Atkinson County,5.4     ,5.4     ,5.7,8.3,15.0,15.2,12.8,11.6,9.4,7.7,GA
387,Bacon County,5.3     ,4.6     ,4.8,6.2,9.4,10.6,10.5,9.7,8.4,7.0,GA
388,Baker County,5.2     ,5.1     ,5.0,6.4,9.3,12.1,11.5,10.9,10.2,8.9,GA
389,Baldwin County,5.5     ,5.4     ,5.6,7.8,12.4,15.4,13.8,11.6,10.2,8.9,GA
390,Banks County,3.9     ,3.2     ,3.0,4.5,7.6,9.7,9.1,8.1,7.7,6.6,GA
391,Barrow County,4.8     ,4.2     ,4.2,6.3,10.6,10.8,10.0,8.6,7.4,6.3,GA
392,Bartow County,5.8     ,4.9     ,4.9,7.1,12.1,12.2,11.4,9.8,8.6,7.2,GA
393,Ben Hill County,5.6     ,5.7     ,6.9,10.8,15.6,15.9,15.6,14.0,12.6,10.3,GA
394,Berrien County,4.2     ,4.1     ,4.3,7.0,13.0,13.0,12.5,10.3,9.6,9.0,GA
395,Bibb County,5.8     ,5.7     ,5.2,6.5,9.7,11.6,11.5,10.5,9.2,8.1,GA
396,Bleckley County,7.5     ,5.9     ,5.2,7.3,10.0,12.5,13.4,12.6,14.0,11.4,GA
397,Brantley County,5.4     ,4.7     ,4.5,6.4,10.9,12.7,13.2,12.0,10.7,9.2,GA
398,Brooks County,4.3     ,4.1     ,4.3,5.7,8.6,9.6,10.0,9.2,8.3,7.4,GA
399,Bryan County,4.0     ,3.5     ,3.4,4.9,7.8,9.6,9.3,8.2,7.4,6.5,GA
400,Bulloch County,4.7     ,4.3     ,4.3,6.1,9.4,10.1,10.5,9.8,8.7,7.4,GA
401,Burke County,7.6     ,6.7     ,7.7,8.7,11.9,12.2,12.7,12.3,12.0,10.1,GA
402,Butts County,6.1     ,5.4     ,5.2,7.5,12.0,11.5,11.4,10.3,9.4,7.6,GA
403,Calhoun County,7.2     ,6.0     ,6.6,8.0,11.2,8.8,8.5,8.0,8.7,7.4,GA
404,Camden County,4.7     ,4.1     ,4.0,5.6,8.9,9.9,9.6,8.6,7.8,6.8,GA
405,Candler County,4.8     ,4.2     ,4.4,6.3,9.3,8.8,9.7,8.8,8.4,7.2,GA
406,Carroll County,5.5     ,4.9     ,4.8,6.7,11.0,11.7,11.4,10.2,9.6,8.2,GA
407,Catoosa County,4.4     ,3.9     ,3.6,5.1,8.4,8.6,8.2,7.5,6.8,6.2,GA
408,Charlton County,5.3     ,4.6     ,4.7,6.7,10.9,10.6,10.7,9.4,8.6,7.8,GA
409,Chatham County,4.6     ,4.1     ,4.0,5.6,8.6,9.9,10.0,9.1,8.1,7.3,GA
410,Chattahoochee County,10.6     ,9.7     ,9.4,12.2,14.8,10.9,11.6,11.8,11.3,9.8,GA
411,Chattooga County,5.5     ,5.0     ,5.9,9.8,13.3,11.7,11.1,10.3,9.1,7.9,GA
412,Cherokee County,4.2     ,3.7     ,3.6,5.3,8.9,8.8,8.2,7.1,6.2,5.6,GA
413,Clarke County,4.5     ,4.3     ,3.9,5.1,7.6,9.3,9.3,8.6,7.7,6.9,GA
414,Clay County,5.4     ,4.3     ,5.6,7.2,8.6,11.6,12.1,12.2,11.1,11.0,GA
415,Clayton County,6.9     ,5.9     ,5.7,7.6,11.8,13.5,13.4,12.1,10.8,9.3,GA
416,Clinch County,6.2     ,5.0     ,5.3,7.2,11.0,11.1,11.0,9.7,9.3,8.7,GA
417,Cobb County,4.8     ,4.3     ,4.0,5.6,9.1,9.3,8.9,7.8,6.8,6.0,GA
418,Coffee County,5.8     ,5.3     ,5.9,8.3,15.4,15.8,12.9,11.4,10.0,8.5,GA
419,Colquitt County,5.2     ,4.2     ,4.5,6.0,9.1,9.7,9.5,8.8,8.9,8.2,GA
420,Columbia County,4.6     ,4.1     ,3.8,4.8,6.9,7.3,7.4,7.0,6.5,5.9,GA
421,Cook County,6.0     ,5.3     ,5.6,7.7,12.8,11.7,11.3,9.5,8.6,8.4,GA
422,Coweta County,4.9     ,4.2     ,4.0,5.7,9.8,9.7,9.1,8.0,7.0,6.2,GA
423,Crawford County,5.9     ,5.1     ,4.7,6.0,10.0,11.4,10.8,9.8,8.8,7.5,GA
424,Crisp County,6.6     ,5.8     ,5.8,7.7,12.2,14.2,13.9,12.5,11.3,9.2,GA
425,Dade County,4.8     ,4.2     ,4.2,5.7,10.5,8.7,8.0,7.6,7.2,6.5,GA
426,Dawson County,4.3     ,3.8     ,3.7,5.9,10.0,10.9,10.1,8.4,7.3,6.1,GA
427,Decatur County,6.2     ,5.7     ,6.0,7.6,12.7,12.4,12.0,10.1,9.6,8.3,GA
428,DeKalb County,6.1     ,5.1     ,4.8,6.4,10.0,10.8,10.6,9.4,8.4,7.3,GA
429,Dodge County,5.8     ,4.9     ,5.0,6.7,10.7,13.0,12.3,11.5,11.5,10.0,GA
430,Dooly County,6.3     ,5.6     ,5.3,6.7,9.9,11.6,13.1,11.5,11.6,9.8,GA
431,Dougherty County,6.3     ,6.0     ,5.6,7.0,10.5,12.6,12.2,11.2,10.4,9.4,GA
432,Douglas County,5.7     ,5.0     ,4.6,6.4,10.8,11.2,10.9,9.6,8.6,7.4,GA
433,Early County,5.6     ,5.0     ,5.6,6.6,10.5,11.7,11.4,10.0,8.8,9.0,GA
434,Echols County,3.4     ,3.1     ,3.1,4.3,7.2,8.2,8.1,7.4,6.3,5.9,GA
435,Effingham County,4.0     ,3.4     ,3.3,4.8,8.2,9.6,9.3,8.3,7.1,6.2,GA
436,Elbert County,6.8     ,6.4     ,5.7,8.3,12.2,14.9,16.2,12.6,10.9,8.7,GA
437,Emanuel County,5.6     ,5.1     ,5.2,7.4,10.7,12.9,13.3,12.3,12.6,10.7,GA
438,Evans County,5.1     ,4.5     ,4.3,6.3,8.8,9.1,9.1,8.5,7.6,6.6,GA
439,Fannin County,5.1     ,4.0     ,3.7,6.2,10.5,11.7,11.3,10.2,9.0,7.8,GA
440,Fayette County,4.6     ,4.0     ,3.8,5.2,8.4,8.2,8.0,7.6,6.8,6.2,GA
441,Floyd County,5.2     ,4.5     ,4.7,6.5,10.5,11.8,12.1,10.9,9.5,7.9,GA
442,Forsyth County,3.8     ,3.3     ,3.3,4.8,8.2,8.0,7.4,6.6,5.9,5.3,GA
443,Franklin County,5.7     ,5.0     ,4.9,7.0,11.9,12.7,12.1,11.2,9.9,8.3,GA
444,Fulton County,5.8     ,5.0     ,4.8,6.4,10.1,10.5,10.2,9.1,8.2,7.2,GA
445,Gilmer County,4.7     ,3.6     ,3.6,5.9,10.4,11.3,11.8,10.5,9.0,7.4,GA
446,Glascock County,6.6     ,5.1     ,5.1,6.8,11.4,11.0,10.8,9.8,9.7,8.4,GA
447,Glynn County,4.5     ,3.9     ,3.6,5.0,8.5,10.0,10.4,9.5,8.6,7.6,GA
448,Gordon County,4.9     ,4.4     ,4.7,7.4,13.0,12.7,11.7,9.8,8.9,7.4,GA
449,Grady County,4.6     ,4.0     ,4.0,6.0,9.7,10.5,9.5,8.5,7.6,7.4,GA
450,Greene County,7.3     ,5.8     ,5.3,6.8,11.3,13.2,12.3,11.0,9.9,8.3,GA
451,Gwinnett County,4.7     ,4.2     ,4.0,5.6,9.0,9.2,8.7,7.8,6.9,6.1,GA
452,Habersham County,4.4     ,4.0     ,4.0,5.7,10.0,10.7,10.5,9.4,7.9,7.0,GA
453,Hall County,4.5     ,3.8     ,3.6,5.4,9.4,9.6,8.8,7.8,6.8,5.9,GA
454,Hancock County,8.2     ,8.5     ,8.4,13.0,19.6,22.9,19.9,17.0,14.8,11.9,GA
455,Haralson County,5.4     ,4.8     ,4.7,6.6,12.0,12.3,11.6,10.2,9.2,7.8,GA
456,Harris County,4.2     ,3.8     ,3.6,4.7,7.3,7.7,7.4,7.2,6.6,6.1,GA
457,Hart County,7.0     ,6.4     ,6.5,8.8,13.5,11.5,11.2,10.3,9.3,7.8,GA
458,Heard County,5.8     ,4.9     ,5.0,7.6,13.0,12.1,11.4,10.4,9.4,7.9,GA
459,Henry County,5.3     ,4.6     ,4.3,6.1,9.7,10.3,10.3,9.4,8.4,7.3,GA
460,Houston County,4.8     ,4.2     ,3.9,5.2,7.2,8.5,8.5,8.0,7.5,6.9,GA
461,Irwin County,5.8     ,5.0     ,6.0,9.9,15.1,14.7,13.8,11.8,10.6,10.1,GA
462,Jackson County,4.7     ,4.1     ,4.1,6.2,11.1,10.5,9.6,8.3,7.0,6.0,GA
463,Jasper County,5.1     ,4.8     ,4.8,8.3,12.5,11.7,11.0,9.8,8.3,6.6,GA
464,Jeff Davis County,7.1     ,7.1     ,6.8,9.8,13.8,12.8,12.6,11.6,10.0,8.4,GA
465,Jefferson County,8.5     ,6.4     ,7.1,9.8,14.5,14.1,13.3,13.2,14.0,11.6,GA
466,Jenkins County,6.0     ,5.5     ,8.9,15.7,19.5,15.2,14.4,13.8,12.4,10.3,GA
467,Johnson County,6.1     ,5.4     ,5.8,8.0,12.5,10.8,11.1,10.0,9.9,8.8,GA
468,Jones County,4.9     ,5.0     ,4.2,5.8,8.6,9.7,9.2,8.5,7.2,6.4,GA
469,Lamar County,6.1     ,5.6     ,5.0,7.4,13.6,14.2,13.7,12.1,11.4,9.5,GA
470,Lanier County,4.0     ,3.9     ,3.7,5.8,9.1,10.5,10.4,9.2,8.3,7.9,GA
471,Laurens County,5.5     ,5.2     ,5.0,7.1,11.2,13.2,13.9,12.3,10.8,9.5,GA
472,Lee County,4.0     ,3.7     ,3.6,4.5,7.2,9.0,8.4,7.6,6.9,6.4,GA
473,Liberty County,5.9     ,5.8     ,5.2,6.0,8.5,9.0,9.4,9.0,8.6,7.9,GA
474,Lincoln County,7.1     ,6.1     ,5.8,7.1,10.9,11.5,11.6,10.8,10.0,8.3,GA
475,Long County,4.0     ,4.0     ,3.7,4.4,6.5,8.4,8.8,8.4,7.9,7.3,GA
476,Lowndes County,4.0     ,3.9     ,3.8,5.4,8.5,9.6,9.9,9.1,8.0,7.3,GA
477,Lumpkin County,4.8     ,4.1     ,4.1,7.0,11.7,10.4,9.8,8.4,7.5,6.6,GA
478,McDuffie County,7.0     ,6.2     ,6.3,7.8,11.4,13.2,13.3,12.5,11.3,9.9,GA
479,McIntosh County,5.4     ,4.3     ,4.1,5.9,10.1,10.6,10.7,9.8,9.1,8.2,GA
480,Macon County,8.8     ,7.7     ,7.3,8.4,12.4,13.2,13.9,13.3,12.7,12.3,GA
481,Madison County,4.4     ,3.7     ,3.7,5.2,8.7,10.4,9.9,8.7,7.3,6.5,GA
482,Marion County,5.3     ,4.5     ,4.7,6.2,9.9,10.7,10.3,9.9,8.5,7.7,GA
483,Meriwether County,7.2     ,6.4     ,5.9,8.5,13.8,13.7,13.4,12.0,10.8,9.8,GA
484,Miller County,3.8     ,3.6     ,4.4,4.9,8.7,10.4,9.1,8.1,7.2,6.3,GA
485,Mitchell County,5.6     ,4.9     ,5.1,6.8,10.0,10.8,10.0,8.9,8.6,8.0,GA
486,Monroe County,5.1     ,4.5     ,4.1,5.6,9.1,10.2,9.7,8.6,7.9,6.7,GA
487,Montgomery County,5.8     ,5.2     ,4.6,7.3,9.0,12.0,13.2,11.6,11.3,10.2,GA
488,Morgan County,4.6     ,4.3     ,4.3,6.0,10.0,10.4,10.0,8.9,7.9,6.6,GA
489,Murray County,4.6     ,4.3     ,4.5,7.4,13.0,13.8,13.9,12.8,11.3,9.5,GA
490,Muscogee County,6.2     ,5.5     ,5.2,6.2,9.1,10.1,10.0,9.7,9.3,8.5,GA
491,Newton County,6.0     ,5.3     ,5.2,7.5,12.2,12.7,12.3,11.0,9.7,8.2,GA
492,Oconee County,3.5     ,3.2     ,3.0,4.0,6.2,7.1,7.0,6.3,5.6,5.1,GA
493,Oglethorpe County,4.6     ,3.7     ,3.8,5.2,8.5,9.6,9.7,8.4,7.3,6.4,GA
494,Paulding County,4.7     ,4.2     ,4.1,5.9,10.1,10.0,9.6,8.3,7.2,6.2,GA
495,Peach County,6.7     ,5.8     ,5.4,7.1,10.3,12.1,11.9,11.2,10.7,9.6,GA
496,Pickens County,4.2     ,3.7     ,3.7,5.9,10.6,11.0,10.5,9.0,7.9,6.7,GA
497,Pierce County,4.8     ,4.2     ,3.9,5.4,9.4,10.4,10.6,9.4,8.5,7.6,GA
498,Pike County,5.7     ,4.5     ,4.2,6.6,11.0,10.7,10.2,9.2,8.5,7.0,GA
499,Polk County,5.1     ,4.4     ,4.4,6.3,10.8,12.0,11.5,9.9,8.8,7.8,GA
500,Pulaski County,5.7     ,4.5     ,4.0,5.3,7.8,9.2,9.7,9.1,9.0,8.0,GA
501,Putnam County,5.4     ,4.5     ,4.4,7.1,11.0,12.9,13.0,11.5,10.3,9.2,GA
502,Quitman County,6.2     ,5.1     ,5.4,8.6,11.9,10.0,10.3,9.6,8.4,8.6,GA
